instruction,input,output
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Biscuits"", ""market"": ""India"", ""period"": ""2022-03..2023-02"", ""mat_sales_cr"": 5.343, ""yoy"": 0.036, ""leaders"": [{""brand"": ""Alpha"", ""share"": 0.3073, ""mat_cr"": 1.642128351}, {""brand"": ""Beta"", ""share"": 0.2666, ""mat_cr"": 1.424385102}, {""brand"": ""Gamma"", ""share"": 0.2382, ""mat_cr"": 1.27255619}, {""brand"": ""Delta"", ""share"": 0.1879, ""mat_cr"": 1.004066095}], ""top_movers"": [{""brand"": ""Beta"", ""yoy"": 0.0558}, {""brand"": ""Delta"", ""yoy"": 0.0516}, {""brand"": ""Gamma"", ""yoy"": 0.0352}], ""bottom_movers"": [{""brand"": ""Alpha"", ""yoy"": 0.0109}, {""brand"": ""Gamma"", ""yoy"": 0.0352}, {""brand"": ""Delta"", ""yoy"": 0.0516}], ""lead_share_pp_delta"": -0.0076}",,"• In India biscuits nudged higher 3.6% Mar 2022–Feb 2023.
• Alpha holds 30.7% share."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Biscuits"", ""market"": ""India"", ""period"": ""2022-03..2023-02"", ""mat_sales_cr"": 5.343, ""yoy"": 0.036, ""leaders"": [{""brand"": ""Alpha"", ""share"": 0.3073, ""mat_cr"": 1.642128351}, {""brand"": ""Beta"", ""share"": 0.2666, ""mat_cr"": 1.424385102}, {""brand"": ""Gamma"", ""share"": 0.2382, ""mat_cr"": 1.27255619}, {""brand"": ""Delta"", ""share"": 0.1879, ""mat_cr"": 1.004066095}], ""top_movers"": [{""brand"": ""Beta"", ""yoy"": 0.0558}, {""brand"": ""Delta"", ""yoy"": 0.0516}, {""brand"": ""Gamma"", ""yoy"": 0.0352}], ""bottom_movers"": [{""brand"": ""Alpha"", ""yoy"": 0.0109}, {""brand"": ""Gamma"", ""yoy"": 0.0352}, {""brand"": ""Delta"", ""yoy"": 0.0516}], ""lead_share_pp_delta"": -0.0076}",,"• Across India, biscuits ticked up 3.6% Mar 2022–Feb 2023.
• Alpha holds 30.7% share."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Beverages"", ""market"": ""India"", ""period"": ""2024-02..2025-01"", ""mat_sales_cr"": 12.615, ""yoy"": 0.0164, ""leaders"": [{""brand"": ""Fizz"", ""share"": 0.3282, ""mat_cr"": 4.140282399}, {""brand"": ""Splash"", ""share"": 0.2714, ""mat_cr"": 3.4232909990000002}, {""brand"": ""Hydra"", ""share"": 0.2236, ""mat_cr"": 2.820899899}, {""brand"": ""Quench"", ""share"": 0.1768, ""mat_cr"": 2.230845003}], ""top_movers"": [{""brand"": ""Fizz"", ""yoy"": 0.0301}, {""brand"": ""Quench"", ""yoy"": 0.0271}, {""brand"": ""Hydra"", ""yoy"": 0.0206}], ""bottom_movers"": [{""brand"": ""Splash"", ""yoy"": -0.0096}, {""brand"": ""Hydra"", ""yoy"": 0.0206}, {""brand"": ""Quench"", ""yoy"": 0.0271}], ""lead_share_pp_delta"": 0.0044}",,"• The beverages market in India was flat 1.6% Feb 2024–Jan 2025.
• Fizz maintains 32.8% share."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Beverages"", ""market"": ""India"", ""period"": ""2024-02..2025-01"", ""mat_sales_cr"": 12.615, ""yoy"": 0.0164, ""leaders"": [{""brand"": ""Fizz"", ""share"": 0.3282, ""mat_cr"": 4.140282399}, {""brand"": ""Splash"", ""share"": 0.2714, ""mat_cr"": 3.4232909990000002}, {""brand"": ""Hydra"", ""share"": 0.2236, ""mat_cr"": 2.820899899}, {""brand"": ""Quench"", ""share"": 0.1768, ""mat_cr"": 2.230845003}], ""top_movers"": [{""brand"": ""Fizz"", ""yoy"": 0.0301}, {""brand"": ""Quench"", ""yoy"": 0.0271}, {""brand"": ""Hydra"", ""yoy"": 0.0206}], ""bottom_movers"": [{""brand"": ""Splash"", ""yoy"": -0.0096}, {""brand"": ""Hydra"", ""yoy"": 0.0206}, {""brand"": ""Quench"", ""yoy"": 0.0271}], ""lead_share_pp_delta"": 0.0044}",,"• In India beverages growing 1.6% YoY Feb 2024–Jan 2025.
• Fizz holds 32.8% share."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Beverages"", ""market"": ""India"", ""period"": ""2024-02..2025-01"", ""mat_sales_cr"": 12.615, ""yoy"": 0.0164, ""leaders"": [{""brand"": ""Fizz"", ""share"": 0.3282, ""mat_cr"": 4.140282399}, {""brand"": ""Splash"", ""share"": 0.2714, ""mat_cr"": 3.4232909990000002}, {""brand"": ""Hydra"", ""share"": 0.2236, ""mat_cr"": 2.820899899}, {""brand"": ""Quench"", ""share"": 0.1768, ""mat_cr"": 2.230845003}], ""top_movers"": [{""brand"": ""Fizz"", ""yoy"": 0.0301}, {""brand"": ""Quench"", ""yoy"": 0.0271}, {""brand"": ""Hydra"", ""yoy"": 0.0206}], ""bottom_movers"": [{""brand"": ""Splash"", ""yoy"": -0.0096}, {""brand"": ""Hydra"", ""yoy"": 0.0206}, {""brand"": ""Quench"", ""yoy"": 0.0271}], ""lead_share_pp_delta"": 0.0044}",,"• Across India, beverages up by 1.6% YoY Feb 2024–Jan 2025.
• Fizz maintains 32.8% share."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Biscuits"", ""market"": ""India"", ""brand_a"": ""Beta"", ""brand_b"": ""Alpha"", ""mat_cr_a"": 1.468, ""mat_cr_b"": 1.729, ""share_a"": 0.2658, ""share_b"": 0.3131, ""yoy_a"": 0.027, ""yoy_b"": 0.0115}",,"• The biscuits market in India, Beta has a narrow lead over Alpha: share 26.6% vs 31.3%; YoY 2.7% vs 1.1%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Biscuits"", ""market"": ""India"", ""brand_a"": ""Beta"", ""brand_b"": ""Alpha"", ""mat_cr_a"": 1.468, ""mat_cr_b"": 1.729, ""share_a"": 0.2658, ""share_b"": 0.3131, ""yoy_a"": 0.027, ""yoy_b"": 0.0115}",,"• In India biscuits, Beta has a narrow lead over Alpha: share 26.6% vs 31.3%; YoY 2.7% vs 1.1%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Biscuits"", ""market"": ""India"", ""brand_a"": ""Beta"", ""brand_b"": ""Alpha"", ""mat_cr_a"": 1.468, ""mat_cr_b"": 1.729, ""share_a"": 0.2658, ""share_b"": 0.3131, ""yoy_a"": 0.027, ""yoy_b"": 0.0115}",,"• Across India, biscuits, Beta has a narrow lead over Alpha: share 26.6% vs 31.3%; YoY 2.7% vs 1.1%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Biscuits"", ""market"": ""India"", ""brand_a"": ""Alpha"", ""brand_b"": ""Delta"", ""mat_cr_a"": 1.708, ""mat_cr_b"": 1.029, ""share_a"": 0.3107, ""share_b"": 0.1872, ""yoy_a"": 0.0227, ""yoy_b"": 0.0103}",,"• The biscuits market in India, Alpha is well ahead of Delta: share 31.1% vs 18.7%; YoY 2.3% vs 1.0%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Biscuits"", ""market"": ""India"", ""brand_a"": ""Alpha"", ""brand_b"": ""Delta"", ""mat_cr_a"": 1.708, ""mat_cr_b"": 1.029, ""share_a"": 0.3107, ""share_b"": 0.1872, ""yoy_a"": 0.0227, ""yoy_b"": 0.0103}",,"• In India biscuits, Alpha is well ahead of Delta: share 31.1% vs 18.7%; YoY 2.3% vs 1.0%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Biscuits"", ""market"": ""India"", ""brand_a"": ""Alpha"", ""brand_b"": ""Delta"", ""mat_cr_a"": 1.708, ""mat_cr_b"": 1.029, ""share_a"": 0.3107, ""share_b"": 0.1872, ""yoy_a"": 0.0227, ""yoy_b"": 0.0103}",,"• Across India, biscuits, Alpha is well ahead of Delta: share 31.1% vs 18.7%; YoY 2.3% vs 1.0%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Beverages"", ""market"": ""India"", ""brand_a"": ""Quench"", ""brand_b"": ""Hydra"", ""mat_cr_a"": 2.017, ""mat_cr_b"": 2.643, ""share_a"": 0.1748, ""share_b"": 0.2291, ""yoy_a"": 0.0546, ""yoy_b"": 0.0934}",,"• The beverages market in India, Quench leads over Hydra: share 17.5% vs 22.9%; YoY 5.5% vs 9.3%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Beverages"", ""market"": ""India"", ""brand_a"": ""Quench"", ""brand_b"": ""Hydra"", ""mat_cr_a"": 2.017, ""mat_cr_b"": 2.643, ""share_a"": 0.1748, ""share_b"": 0.2291, ""yoy_a"": 0.0546, ""yoy_b"": 0.0934}",,"• In India beverages, Quench leads over Hydra: share 17.5% vs 22.9%; YoY 5.5% vs 9.3%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Beverages"", ""market"": ""India"", ""brand_a"": ""Quench"", ""brand_b"": ""Hydra"", ""mat_cr_a"": 2.017, ""mat_cr_b"": 2.643, ""share_a"": 0.1748, ""share_b"": 0.2291, ""yoy_a"": 0.0546, ""yoy_b"": 0.0934}",,"• Across India, beverages, Quench leads over Hydra: share 17.5% vs 22.9%; YoY 5.5% vs 9.3%."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Biscuits"", ""market"": ""India"", ""period"": ""2024-01..2024-12"", ""mat_sales_cr"": 5.511, ""yoy"": 0.0103, ""leaders"": [{""brand"": ""Alpha"", ""share"": 0.3128, ""mat_cr"": 1.7238920309999999}, {""brand"": ""Beta"", ""share"": 0.2663, ""mat_cr"": 1.4675125900000001}, {""brand"": ""Gamma"", ""share"": 0.2322, ""mat_cr"": 1.279775351}, {""brand"": ""Delta"", ""share"": 0.1886, ""mat_cr"": 1.039447307}], ""top_movers"": [{""brand"": ""Beta"", ""yoy"": 0.0362}, {""brand"": ""Alpha"", ""yoy"": 0.0166}, {""brand"": ""Delta"", ""yoy"": 0.0164}], ""bottom_movers"": [{""brand"": ""Gamma"", ""yoy"": -0.0304}, {""brand"": ""Delta"", ""yoy"": 0.0164}, {""brand"": ""Alpha"", ""yoy"": 0.0166}], ""lead_share_pp_delta"": 0.0019}",,"• The biscuits market in India was flat 1.0% Jan–Dec 2024.
• Alpha maintains 31.3% share."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Biscuits"", ""market"": ""India"", ""period"": ""2024-01..2024-12"", ""mat_sales_cr"": 5.511, ""yoy"": 0.0103, ""leaders"": [{""brand"": ""Alpha"", ""share"": 0.3128, ""mat_cr"": 1.7238920309999999}, {""brand"": ""Beta"", ""share"": 0.2663, ""mat_cr"": 1.4675125900000001}, {""brand"": ""Gamma"", ""share"": 0.2322, ""mat_cr"": 1.279775351}, {""brand"": ""Delta"", ""share"": 0.1886, ""mat_cr"": 1.039447307}], ""top_movers"": [{""brand"": ""Beta"", ""yoy"": 0.0362}, {""brand"": ""Alpha"", ""yoy"": 0.0166}, {""brand"": ""Delta"", ""yoy"": 0.0164}], ""bottom_movers"": [{""brand"": ""Gamma"", ""yoy"": -0.0304}, {""brand"": ""Delta"", ""yoy"": 0.0164}, {""brand"": ""Alpha"", ""yoy"": 0.0166}], ""lead_share_pp_delta"": 0.0019}",,"• In India biscuits growing 1.0% YoY Jan–Dec 2024.
• Alpha maintains 31.3% share."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Biscuits"", ""market"": ""India"", ""period"": ""2024-01..2024-12"", ""mat_sales_cr"": 5.511, ""yoy"": 0.0103, ""leaders"": [{""brand"": ""Alpha"", ""share"": 0.3128, ""mat_cr"": 1.7238920309999999}, {""brand"": ""Beta"", ""share"": 0.2663, ""mat_cr"": 1.4675125900000001}, {""brand"": ""Gamma"", ""share"": 0.2322, ""mat_cr"": 1.279775351}, {""brand"": ""Delta"", ""share"": 0.1886, ""mat_cr"": 1.039447307}], ""top_movers"": [{""brand"": ""Beta"", ""yoy"": 0.0362}, {""brand"": ""Alpha"", ""yoy"": 0.0166}, {""brand"": ""Delta"", ""yoy"": 0.0164}], ""bottom_movers"": [{""brand"": ""Gamma"", ""yoy"": -0.0304}, {""brand"": ""Delta"", ""yoy"": 0.0164}, {""brand"": ""Alpha"", ""yoy"": 0.0166}], ""lead_share_pp_delta"": 0.0019}",,"• Across India, biscuits growing 1.0% YoY Jan–Dec 2024.
• Alpha holds 31.3% share."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Biscuits"", ""market"": ""India"", ""period"": ""2024-10..2025-09"", ""mat_sales_cr"": 5.632, ""yoy"": 0.0222, ""leaders"": [{""brand"": ""Alpha"", ""share"": 0.3095, ""mat_cr"": 1.7432316190000001}, {""brand"": ""Beta"", ""share"": 0.2666, ""mat_cr"": 1.5011847029999998}, {""brand"": ""Gamma"", ""share"": 0.2362, ""mat_cr"": 1.330444998}, {""brand"": ""Delta"", ""share"": 0.1876, ""mat_cr"": 1.056738391}], ""top_movers"": [{""brand"": ""Gamma"", ""yoy"": 0.0342}, {""brand"": ""Delta"", ""yoy"": 0.022}, {""brand"": ""Beta"", ""yoy"": 0.0215}], ""bottom_movers"": [{""brand"": ""Alpha"", ""yoy"": 0.014}, {""brand"": ""Beta"", ""yoy"": 0.0215}, {""brand"": ""Delta"", ""yoy"": 0.022}], ""lead_share_pp_delta"": -0.0025}",,"• The biscuits market in India was flat 2.2% Oct 2024–Sep 2025.
• Alpha maintains 30.9% share."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Biscuits"", ""market"": ""India"", ""period"": ""2024-10..2025-09"", ""mat_sales_cr"": 5.632, ""yoy"": 0.0222, ""leaders"": [{""brand"": ""Alpha"", ""share"": 0.3095, ""mat_cr"": 1.7432316190000001}, {""brand"": ""Beta"", ""share"": 0.2666, ""mat_cr"": 1.5011847029999998}, {""brand"": ""Gamma"", ""share"": 0.2362, ""mat_cr"": 1.330444998}, {""brand"": ""Delta"", ""share"": 0.1876, ""mat_cr"": 1.056738391}], ""top_movers"": [{""brand"": ""Gamma"", ""yoy"": 0.0342}, {""brand"": ""Delta"", ""yoy"": 0.022}, {""brand"": ""Beta"", ""yoy"": 0.0215}], ""bottom_movers"": [{""brand"": ""Alpha"", ""yoy"": 0.014}, {""brand"": ""Beta"", ""yoy"": 0.0215}, {""brand"": ""Delta"", ""yoy"": 0.022}], ""lead_share_pp_delta"": -0.0025}",,"• In India biscuits up by 2.2% YoY Oct 2024–Sep 2025.
• Alpha holds 30.9% share."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Biscuits"", ""market"": ""India"", ""period"": ""2024-10..2025-09"", ""mat_sales_cr"": 5.632, ""yoy"": 0.0222, ""leaders"": [{""brand"": ""Alpha"", ""share"": 0.3095, ""mat_cr"": 1.7432316190000001}, {""brand"": ""Beta"", ""share"": 0.2666, ""mat_cr"": 1.5011847029999998}, {""brand"": ""Gamma"", ""share"": 0.2362, ""mat_cr"": 1.330444998}, {""brand"": ""Delta"", ""share"": 0.1876, ""mat_cr"": 1.056738391}], ""top_movers"": [{""brand"": ""Gamma"", ""yoy"": 0.0342}, {""brand"": ""Delta"", ""yoy"": 0.022}, {""brand"": ""Beta"", ""yoy"": 0.0215}], ""bottom_movers"": [{""brand"": ""Alpha"", ""yoy"": 0.014}, {""brand"": ""Beta"", ""yoy"": 0.0215}, {""brand"": ""Delta"", ""yoy"": 0.022}], ""lead_share_pp_delta"": -0.0025}",,"• Across India, biscuits up by 2.2% YoY Oct 2024–Sep 2025.
• Alpha maintains 30.9% share."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Beverages"", ""market"": ""India"", ""brand_a"": ""Fizz"", ""brand_b"": ""Quench"", ""mat_cr_a"": 4.081, ""mat_cr_b"": 2.214, ""share_a"": 0.3261, ""share_b"": 0.1769, ""yoy_a"": 0.0233, ""yoy_b"": 0.0308}",,"• The beverages market in India, Fizz is well ahead of Quench: share 32.6% vs 17.7%; YoY 2.3% vs 3.1%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Beverages"", ""market"": ""India"", ""brand_a"": ""Fizz"", ""brand_b"": ""Quench"", ""mat_cr_a"": 4.081, ""mat_cr_b"": 2.214, ""share_a"": 0.3261, ""share_b"": 0.1769, ""yoy_a"": 0.0233, ""yoy_b"": 0.0308}",,"• In India beverages, Fizz is well ahead of Quench: share 32.6% vs 17.7%; YoY 2.3% vs 3.1%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Beverages"", ""market"": ""India"", ""brand_a"": ""Fizz"", ""brand_b"": ""Quench"", ""mat_cr_a"": 4.081, ""mat_cr_b"": 2.214, ""share_a"": 0.3261, ""share_b"": 0.1769, ""yoy_a"": 0.0233, ""yoy_b"": 0.0308}",,"• Across India, beverages, Fizz is well ahead of Quench: share 32.6% vs 17.7%; YoY 2.3% vs 3.1%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Beverages"", ""market"": ""India"", ""brand_a"": ""Fizz"", ""brand_b"": ""Quench"", ""mat_cr_a"": 3.874, ""mat_cr_b"": 2.096, ""share_a"": 0.3246, ""share_b"": 0.1756, ""yoy_a"": 0.0693, ""yoy_b"": 0.0543}",,"• The beverages market in India, Fizz is well ahead of Quench: share 32.5% vs 17.6%; YoY 6.9% vs 5.4%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Beverages"", ""market"": ""India"", ""brand_a"": ""Fizz"", ""brand_b"": ""Quench"", ""mat_cr_a"": 3.874, ""mat_cr_b"": 2.096, ""share_a"": 0.3246, ""share_b"": 0.1756, ""yoy_a"": 0.0693, ""yoy_b"": 0.0543}",,"• In India beverages, Fizz is well ahead of Quench: share 32.5% vs 17.6%; YoY 6.9% vs 5.4%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Beverages"", ""market"": ""India"", ""brand_a"": ""Fizz"", ""brand_b"": ""Quench"", ""mat_cr_a"": 3.874, ""mat_cr_b"": 2.096, ""share_a"": 0.3246, ""share_b"": 0.1756, ""yoy_a"": 0.0693, ""yoy_b"": 0.0543}",,"• Across India, beverages, Fizz is well ahead of Quench: share 32.5% vs 17.6%; YoY 6.9% vs 5.4%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Biscuits"", ""market"": ""India"", ""brand_a"": ""Beta"", ""brand_b"": ""Alpha"", ""mat_cr_a"": 1.458, ""mat_cr_b"": 1.695, ""share_a"": 0.2668, ""share_b"": 0.3102, ""yoy_a"": 0.0369, ""yoy_b"": 0.0039}",,"• The biscuits market in India, Beta has a narrow lead over Alpha: share 26.7% vs 31.0%; YoY 3.7% vs 0.4%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Biscuits"", ""market"": ""India"", ""brand_a"": ""Beta"", ""brand_b"": ""Alpha"", ""mat_cr_a"": 1.458, ""mat_cr_b"": 1.695, ""share_a"": 0.2668, ""share_b"": 0.3102, ""yoy_a"": 0.0369, ""yoy_b"": 0.0039}",,"• In India biscuits, Beta edges past Alpha: share 26.7% vs 31.0%; YoY 3.7% vs 0.4%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Biscuits"", ""market"": ""India"", ""brand_a"": ""Beta"", ""brand_b"": ""Alpha"", ""mat_cr_a"": 1.458, ""mat_cr_b"": 1.695, ""share_a"": 0.2668, ""share_b"": 0.3102, ""yoy_a"": 0.0369, ""yoy_b"": 0.0039}",,"• Across India, biscuits, Beta has a narrow lead over Alpha: share 26.7% vs 31.0%; YoY 3.7% vs 0.4%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Beverages"", ""market"": ""India"", ""brand_a"": ""Hydra"", ""brand_b"": ""Fizz"", ""mat_cr_a"": 2.835, ""mat_cr_b"": 4.12, ""share_a"": 0.2249, ""share_b"": 0.3268, ""yoy_a"": 0.0398, ""yoy_b"": 0.0221}",,"• The beverages market in India, Hydra is well ahead of Fizz: share 22.5% vs 32.7%; YoY 4.0% vs 2.2%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Beverages"", ""market"": ""India"", ""brand_a"": ""Hydra"", ""brand_b"": ""Fizz"", ""mat_cr_a"": 2.835, ""mat_cr_b"": 4.12, ""share_a"": 0.2249, ""share_b"": 0.3268, ""yoy_a"": 0.0398, ""yoy_b"": 0.0221}",,"• In India beverages, Hydra is well ahead of Fizz: share 22.5% vs 32.7%; YoY 4.0% vs 2.2%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Beverages"", ""market"": ""India"", ""brand_a"": ""Hydra"", ""brand_b"": ""Fizz"", ""mat_cr_a"": 2.835, ""mat_cr_b"": 4.12, ""share_a"": 0.2249, ""share_b"": 0.3268, ""yoy_a"": 0.0398, ""yoy_b"": 0.0221}",,"• Across India, beverages, Hydra is well ahead of Fizz: share 22.5% vs 32.7%; YoY 4.0% vs 2.2%."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Biscuits"", ""market"": ""India"", ""period"": ""2023-02..2024-01"", ""mat_sales_cr"": 5.464, ""yoy"": 0.025, ""leaders"": [{""brand"": ""Alpha"", ""share"": 0.3127, ""mat_cr"": 1.708949167}, {""brand"": ""Beta"", ""share"": 0.2615, ""mat_cr"": 1.4290410230000001}, {""brand"": ""Gamma"", ""share"": 0.2398, ""mat_cr"": 1.310449051}, {""brand"": ""Delta"", ""share"": 0.1859, ""mat_cr"": 1.015961876}], ""top_movers"": [{""brand"": ""Alpha"", ""yoy"": 0.0462}, {""brand"": ""Gamma"", ""yoy"": 0.0219}, {""brand"": ""Delta"", ""yoy"": 0.017}], ""bottom_movers"": [{""brand"": ""Beta"", ""yoy"": 0.009}, {""brand"": ""Delta"", ""yoy"": 0.017}, {""brand"": ""Gamma"", ""yoy"": 0.0219}], ""lead_share_pp_delta"": 0.0063}",,"• The biscuits market in India was unchanged 2.5% Feb 2023–Jan 2024.
• Alpha holds 31.3% share."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Biscuits"", ""market"": ""India"", ""period"": ""2023-02..2024-01"", ""mat_sales_cr"": 5.464, ""yoy"": 0.025, ""leaders"": [{""brand"": ""Alpha"", ""share"": 0.3127, ""mat_cr"": 1.708949167}, {""brand"": ""Beta"", ""share"": 0.2615, ""mat_cr"": 1.4290410230000001}, {""brand"": ""Gamma"", ""share"": 0.2398, ""mat_cr"": 1.310449051}, {""brand"": ""Delta"", ""share"": 0.1859, ""mat_cr"": 1.015961876}], ""top_movers"": [{""brand"": ""Alpha"", ""yoy"": 0.0462}, {""brand"": ""Gamma"", ""yoy"": 0.0219}, {""brand"": ""Delta"", ""yoy"": 0.017}], ""bottom_movers"": [{""brand"": ""Beta"", ""yoy"": 0.009}, {""brand"": ""Delta"", ""yoy"": 0.017}, {""brand"": ""Gamma"", ""yoy"": 0.0219}], ""lead_share_pp_delta"": 0.0063}",,"• In India biscuits was flat 2.5% Feb 2023–Jan 2024.
• Alpha holds 31.3% share."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Biscuits"", ""market"": ""India"", ""period"": ""2023-02..2024-01"", ""mat_sales_cr"": 5.464, ""yoy"": 0.025, ""leaders"": [{""brand"": ""Alpha"", ""share"": 0.3127, ""mat_cr"": 1.708949167}, {""brand"": ""Beta"", ""share"": 0.2615, ""mat_cr"": 1.4290410230000001}, {""brand"": ""Gamma"", ""share"": 0.2398, ""mat_cr"": 1.310449051}, {""brand"": ""Delta"", ""share"": 0.1859, ""mat_cr"": 1.015961876}], ""top_movers"": [{""brand"": ""Alpha"", ""yoy"": 0.0462}, {""brand"": ""Gamma"", ""yoy"": 0.0219}, {""brand"": ""Delta"", ""yoy"": 0.017}], ""bottom_movers"": [{""brand"": ""Beta"", ""yoy"": 0.009}, {""brand"": ""Delta"", ""yoy"": 0.017}, {""brand"": ""Gamma"", ""yoy"": 0.0219}], ""lead_share_pp_delta"": 0.0063}",,"• Across India, biscuits up by 2.5% YoY Feb 2023–Jan 2024.
• Alpha holds 31.3% share."
